1	1	흥화반점	부산광역시 부산진구 서전로47번길 52-1, 1,2층 (전포동)	부산광역시 부산진구 전포동 637-5	051-809-3202		129.0649141	35.1602103		
2	2	한솥도시락 서면교보생명앞점	부산광역시 부산진구 중앙대로 655 (부전동, 교보생명앞점)	부산광역시 부산진구 부전동 535-27 교보생명앞점			129.0589349	35.1512223		
3	3	송정3대국밥	부산광역시 부산진구 서면로68번길 29 (부전동)	부산광역시 부산진구 부전동 255-15	051-806-7181		129.0585362	35.155699	3.9	2581
4	5	롯데양곱창	부산광역시 부산진구 가야대로784번길 58 (부전동)	부산광역시 부산진구 부전동 520-1	051-807-8750		129.0570229	35.1548905	4	5
5	6	백셰프	부산광역시 부산진구 부전로96번길 13 (부전동)	부산광역시 부산진구 부전동 474-36	051-816-9173		129.0554882	35.1587696		
6	7	마산식당	부산광역시 부산진구 자유평화로 19 (범천동)	부산광역시 부산진구 범천동 839-53	051-631-6906		129.0619586	35.1416		
7	8	울산식당	부산광역시 부산진구 중앙대로 795-1 (부전동)	부산광역시 부산진구 부전동 58-1	051-809-6135		129.0626933	35.1628996		
8	9	서면대복집	부산광역시 부산진구 서면문화로5번길 6 (부전동,,28)	부산광역시 부산진구 부전동 475-27 ,28 	051-809-3714		129.0574022	35.1584289		
9	10	시장칼국수	부산광역시 부산진구 서면로 56 (부전동)	부산광역시 부산진구 부전동 256-6			129.0581363	35.155642	4	1287
10	11	오복	부산광역시 부산진구 중앙대로 795-1 (부전동)	부산광역시 부산진구 부전동 58-1	051-816-6641		129.0626933	35.1628996		
11	12	백천식당	부산광역시 부산진구 동평로420번길 20 (양정동)	부산광역시 부산진구 양정동 391-2	051-851-1433		129.069717	35.1723608		
12	14	서면포항돼지국밥	부산광역시 부산진구 서면로68번길 25, 지상1층 (부전동)	부산광역시 부산진구 부전동 255-13 지상1층	051-808-4268		129.0585511	35.155915	4.1	1381
13	15	부산돼지국밥	부산광역시 부산진구 신천대로65번길 63 (범천동)	부산광역시 부산진구 범천동 870-47	051-634-1009		129.0581912	35.1474067		
14	16	옛날손칼국수		부산광역시 부산진구 범천동 721-0			129.0595922	35.1429648		
15	17	초량갈비	부산광역시 부산진구 가야대로588번길 5 (가야동)	부산광역시 부산진구 가야동 273-1 외 271	051-898-9001		129.0362363	35.1541784		
16	18	포항횟집		부산광역시 부산진구 범천동 840	051-635-7296		129.0628184	35.1426657		
17	19	삼미식당	부산광역시 부산진구 새싹로29번길 17 (부전동,번지(1,2층일부))	부산광역시 부산진구 부전동 400-14 번지(1,2층일부) 	051-817-3076		129.0560171	35.1600736		
18	21	한림정	부산광역시 부산진구 새싹로8번길 18 (부전동)	부산광역시 부산진구 부전동 260-58	051-809-0977		129.0593511	35.159089		
19	22	부영식당	부산광역시 부산진구 새싹로8번길 13 (부전동)	부산광역시 부산진구 부전동 262-9	051-809-1682		129.0590413	35.1592229		
20	23	서면고려삼계탕	부산광역시 부산진구 서면로 36-2, 지상1,2층 (부전동)	부산광역시 부산진구 부전동 240-14 지상1,2층 	051-806-6920		129.0580876	35.1539669	4	72
21	25	제일식당	부산광역시 부산진구 서전로 20-4 (부전동)	부산광역시 부산진구 부전동 149-8	051-802-6339		129.0618533	35.1574688		
22	26	선미식당	부산광역시 부산진구 백양순환로164번가길 8 (부암동)	부산광역시 부산진구 부암동 393-5	051-817-9827		129.0405917	35.1671042		
